Pan Pacific Hotel,Hotels,Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.40 for 1st 2 hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr,Same as Saturday,1.2915823,103.8594224
Pan Pacific Orchard,Hotels,7am-5pm: $4 for 1st hr; $1.50 for sub. ½ hr,Aft 5pm: $4 per entry,Same as wkdays,$4 per entry,1.3073882,103.8298879
Paramount Hotel,Hotels,8am-5pm: $0.60 per ½ hr,Aft 5pm: $2.50 per entry,Same as wkdays,$2.50 per entry,1.30629,103.91341
PARKROYAL on Beach Road,Hotels,7am-5pm: Multi Storey Carpark - $2.50 for 1st hr; $1.50 for sub. ½ hr. Hotel Driveway - $6 for 1st hr; $2 for sub. ½ hr.,Aft 5pm: Multi Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.,Charges same as wkdays but $2.50 per entry (Multi-Storey Carpark) & $6 per entry (Hotel Driveway) after 1pm. ,Multi-Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.,1.3002036,103.86076094344
Peninsula Excelsior Hotel,Hotels,8am-5pm: $2.60 for 1st hr; $1.50 for sub. ½ hr,Aft 5pm: $4 per entry,Same as wkdays,8am-5pm: $1.50 per hr; Aft 5pm: $4 per entry,1.2919459,103.8498204
Raffles Hotel,Hotels,12am-6pm: $3 for 1st ½ hr; $1.50 for sub. ½ hr,6pm-12am: $6 per entry,Same as wkdays,$6 per entry,1.294941,103.854302714415
Ramada Hotel,Hotels,6am-6pm: $1.60 per hr,Aft 6pm: $2.20 per entry,Same as wkdays,Same as wkdays,1.327225,103.846493
Regent Hotel,Hotels,7am-6pm: $5 for 1st hr; $2.50 for sub. ½ hr,Aft 6pm: $6 per entry,Same as wkdays,Same as wkdays,1.30462435,103.824848670038
Rendezvous Hotel,Hotels,Daily: $3.20 for 1st 2hrs; $1.60 for sub. hr,-,-,-,1.298583,103.849316
Royal Plaza On Scotts,Hotels,8am-6pm: $4 for 1st hr; $1.50 for sub. ½ hr,Aft 6pm: $5.50 per entry,Same as wkdays,$5.50 per entry,1.30694525,103.83196278549
Shangri-la Hotel,Hotels,7am-5pm: $6 for 1st hr; $2 for sub. ½ hr,Aft 5pm: $8 per entry,Same as wkdays,Same as wkdays,1.311352,103.826629214706
Sheraton Towers Hotel,Hotels,7am-6pm: $4 for 1st hr; $2 for sub. ½ hr,Aft 6pm: $6 per entry,Same as wkdays,$6 per entry,1.3119505,103.8364622
Singapore Marriott Hotel,Hotels,6am-6pm: $0.05 per min/$3 per hr,Aft 6pm: $0.05 per min/$3 per hr,Same as wkdays,Same as wkdays,1.2904753,103.8520359
Swissotel Merchant Court Hotel,Hotels,Daily: $4.50 for 1st hr; $1.50 for sub. ½ hr,-,-,-,1.288218,103.8456923
Swissotel Stamford Hotel,Hotels,8am-5pm: $2 for 1st hr; $0.50 for sub. 15mins (Car park at Raffles City Shopping Centre),Aft 5pm: $2.50 per entry,$2 for 1st 2hrs; $0.30 for sub. 15mins,Same as Saturday,1.2932748,103.8533288
"The Ritz Carlton, Millenia Singapore",Hotels,7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr,Aft 6pm: $2.20 per entry,$2.20 for 1st 2hrs; $1.10 for sub. hr,Same as Saturday,1.289905,103.859579
Traders Hotel,Hotels,6am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr,Aft 5pm: $3.50 per entry,"Charges same as wkdays, but $3.50 per entry after 1pm",$3.50 per entry,1.3043203,103.823896133379
York Hotel,Hotels,8.01am-6pm: $4 for 1st hr; $2 for sub. ½ hr,Aft 6pm: $5 per entry,Same as wkdays,$5 per entry,1.3069254,103.8351875
313@Somerset,Orchard Area,$2 for 1st hr; $1 for sub. ½ hr,Aft 6pm: $4.50 for 1st 3hrs; $1.50 for sub. ½ hr,Same as weekdays,$4.50 for 1st 3hrs; $1.50 for sub ½ hr,1.3010128,103.838539945158
Angullia Park Off-Street,Orchard Area,$1.00 /30 mins (Per Minute Charging),$0.50 /30 mins (Per Minute Charging),0700-1700 : $1.00 per 30 mins; 1700-0700: $0.50 per 30 mins (Per Minute Charging),$0.50 /30 mins (Per Minute Charging),1.3040951,103.8297739
Atrium @ Orchard,Orchard Area,Mon-Thurs: 12am-5.59pm: $1.07 for 1st hr; $0.32 for sub. 15mins; Fri & Eve of PH: $1.07 for 1st hr; $0.32 for sub. 15mins,Mon-Thurs: 6pm-11.59pm: $2.14 per entry; Fri & Eve of PH: 6pm-2.59am (the next day): $2.14 per entry,3am-5.59pm: $2.14 for 1st 2 hrs; $0.32 for sub. 15mins; Aft 6pm: $2.14 per entry,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins.  6pm-11.59pm: $2.14 per entry,1.29997815,103.845591406665
